id,codice,descrizione,prezzo
,60309069,CORSETTO PER DORSO CURVO CON MOLLONE,424.62
,60309070,CORSETTO PER DORSO CURVO CON MOLLONE,284.68
,60309072,CORSETTO PER DORSO CURVO CON MOLLONE,448.83
,60309073,CORSETTO PER DORSO CURVO CON MOLLONE,437.62
,60309075,BUSTO TIPO AGOSTINI ANTIGRAVITARIO,735.42
,60309078,REGGISPALLE CON ASCELLARI,100.77
,60309079,REGGISPALLE CON ASCELLARI,122.67
,60309080,REGGISPALLE CON ASCELLARI,134.54
,60309103,AGG. ASCELLARE CON APPOGGIO METALLICO,130.71
,60309106,AGG. CUSCINETTO MODELLATO DI SOSTEGNO,38.39
,60309109,AGG. FASCIA EPIGASTRICA,26.45
,60309112,AGG. FASCIA AI TROCANTERI,33.66
,60309115,AGG. MOLLA SUPPLEMENTARE,5.23
,60309118,AGG. PATTINA SOTTO PUBE,9.73
,60309121,AGG. SPALLACCI SEMPLICI,25.51
,60309124,AGG. SPALLACCI MODELLATI,29.1
,60309125,AGG. TAGLIA OLTRE CM. 11O,37.61
,60309126,AGG. TESSUTO ALTO FINO ALLE ASCELLE,27.81
,60309127,AGG. TRAZIONE ELASTICA DI RACCORDO,28.94
,60309128,AGG. IMBOTTITURA COMPENSATIVA,18.02
,60309130,AGG. CUSCINETTO DI COMPRESSIONE,28.82
,60309133,AGG. FIBBIA CON ATTACCO,4.84
,60309136,AGG. PIASTRA DI COMPRESSIONE,23.14
,60309139,AGG. RIVESTIMENTO MORBIDO INTERNO,42.84
,60309142,AGG. ASTA DI TRAZIONE,29.21
,60309145,AGG. COLLARE,47.96
,60309148,AGG. GORGERA,114.72
,60309151,CUSCINETTO DI COMPENS. ESTETICA,112.19
,60309154,PELOTTA PER LA EST. SPINTA DORSOLOMB.,62.54
,60309157,AGG. ART. REGISTRABILI A LIVELLO,47.28
,60309163,GORGERA CON ASTA REG. IN ALT. E CIRC.,114.72
,60309169,AGG. PLACCA DI COMPRESSIONE,146.03
,60309172,AGG. PELOTTA PNEUMATICA POSTER.,141.35
,60309223,AGG. PELOTTA ADDOMINALE,9.91
,60309503,RIP. ABBASSARE PARTE ANTERIORE,24.66
,60309506,RIP. ABBASSARE TOTALMENTE STOFFA,31.92
,60309509,RIP. ALLARGARE PARTE ANTERIORE,21.51
,60309512,RIP. ATTACCO ALLACCIATURA,9.12
,60309515,RIP. CUSCINETTO,43.85
,60309518,RIP. FASCIA EPIGASTRICA,31.92
,60309521,RIP. FASCIA AI TROCANTERI,32.71
,60309524,RIP. FETTUCCIA A GANCI,20.99
,60309527,RIP. FIBBIA CON RELATIVO ATTACCO,10.36
,60309530,RIP. GIARRETTIERA COMPLETA,10.07
,60309533,RIP. LACCIO,0.62
,60309536,RIP. LATERALE IN ELASTICO,19.93
